evid,datetime,lat,lon,depth,loc_type,loc_grid,mag,mag_type,mag_method,mag_unc,mag_orig,mag_orig_type,mag_orig_unc,ndef,nsta,nmag,t_res,reloc,tect_class,tect_method,domain_no,domain_type,strike,dip,rake,f_length,f_width,f_type,z_tor,z_bor,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1504668,2000-04-04T07:33:21.633000Z,-41.02092,175.44881,27.5921,GROPE,nz1dr,4.267,ML,uncorrected,0.17,4.267,ML,0.17,37,30,12,0.17215,no,Interface,hik_kerm_fault_300km_wgs84_poslon,5,Strike-slip,205.906523,79.82088,-134,1.797262302,1.845191499,domain,26.59851984,28.41466816,-41.02092,175.44881,0.581403721,0.547080956,-41.01300611,175.4558537,26598.51984,-41.02775447,175.4470625,26598.51984,-41.01179812,175.4523209,28414.66816,-41.02654623,175.4435291,28414.66816
1505271,2000-04-06T14:39:49.517000Z,-41.78012,174.4066,48.0958,GROPE,nz1dr,4.498,ML,uncorrected,0.312,4.498,ML,0.312,38,25,8,0.15341,no,Slab,hik_kerm_fault_300km_wgs84_poslon,14,Strike-slip,259.136716,70.271029,173,2.309809807,2.543003493,domain,46.99412058,49.38784971,-41.78012,174.4066,0.558835417,0.460235625,-41.78122437,174.4227743,46994.12058,-41.78547892,174.3955703,46994.12058,-41.77365733,174.4206604,49387.84971,-41.77791134,174.3934594,49387.84971
1507559,2000-04-13T02:49:59.521000Z,-38.62122,178.0675,30.3792,GROPE,nz1dr,4.496,ML,uncorrected,0.227,4.496,ML,0.227,35,30,11,0.18155,no,Slab,hik_kerm_fault_300km_wgs84_poslon,0,Oceanic,215.964348,86.816121,45,2.136009325,1.524893159,domain,29.19939155,30.72193093,-38.62122,178.0675,0.478184255,0.774895196,-38.61382033,178.0744717,29199.39155,-38.62996288,178.0612128,29199.39155,-38.61340795,178.0736559,30721.93093,-38.62955041,178.0603968,30721.93093
1515206,2000-04-25T04:26:29.894000Z,-45.47778,166.98297,64.9563,GROPE,nz1dr,5.353,ML,uncorrected,0.342,5.353,ML,0.342,15,9,18,0.25019,no,Slab,puy_slab2_dep_02.26.18,23,Crustal block,37.904002,48.820837,140,6.515461204,5.445753878,domain,63.0208483,67.11961898,-45.47778,166.98297,0.502935432,0.472202973,-45.48935184,166.9388704,63020.8483,-45.44603325,166.994718,63020.8483,-45.51098133,166.9727638,67119.61898,-45.46764592,167.0286102,67119.61898
1515717,2000-04-27T09:14:45.812000Z,-40.1917,173.9805,136.0871,GROPE,nz1dr,5.879,ML,uncorrected,0.223,5.879,ML,0.223,53,46,8,0.23193,no,Slab,,3,Extensional,213.523609,56.216824,-127,9.504520557,11.27128533,domain,131.8872253,141.2553291,-40.1917,173.9805,0.482542705,0.448316413,-40.17073767,174.0374549,131887.2253,-40.24265006,173.9768399,131887.2253,-40.14009032,173.9756545,141255.3291,-40.21197115,173.9150002,141255.3291
1516998,2000-04-28T11:19:02.173000Z,-42.67303,173.21411,33,GROPE,nz1dr,4.634,ML,uncorrected,0.268,4.634,ML,0.268,24,19,26,0.10893,no,Interface,hik_kerm_fault_300km_wgs84_poslon,17,Contractional,55.889759,60.911948,147,2.858158003,2.612532683,domain,31.67757812,33.96060152,-42.67303,173.21411,0.555558625,0.57924149,-42.67560106,173.1930382,31677.57812,-42.6611145,173.2218683,31677.57812,-42.68505617,173.2017615,33960.60152,-42.67056743,173.230594,33960.60152
1518621,2000-05-08T04:04:37.369000Z,-40.05177,175.01006,70.0617,GROPE,nz1dr,4.207,ML,uncorrected,0.32,4.207,ML,0.32,40,32,8,0.30267,no,Slab,hik_kerm_fault_300km_wgs84_poslon,12,Contractional,25.461233,65.259203,123,1.478722434,1.755878466,domain,69.21632741,70.81103452,-40.05177,175.01006,0.446239923,0.530111507,-40.05575552,175.0027281,69216.32741,-40.04360497,175.0098237,69216.32741,-40.05846538,175.0105861,70811.03452,-40.04631438,175.0176805,70811.03452
1522106,2000-05-13T21:51:57.806000Z,-40.20953,174.20703,116.3354,GROPE,nz1dr,4.845,ML,uncorrected,0.279,4.845,ML,0.279,37,30,8,0.27273,no,Slab,hik_kerm_fault_300km_wgs84_poslon,3,Extensional,219.393569,54.345723,-127,2.93805097,3.181044147,domain,114.8200533,117.4048074,-40.20953,174.20703,0.428349579,0.586263387,-40.20678128,174.2262373,114820.0533,-40.22746311,174.204694,114820.0533,-40.19635876,174.2092148,117404.8074,-40.21703748,174.1876694,117404.8074
1522623,2000-05-16T07:03:26.738000Z,-40.02231,174.78896,114.5656,GROPE,nz1dr,5.533,ML,uncorrected,0.348,5.533,ML,0.348,58,49,12,0.176,no,Slab,hik_kerm_fault_300km_wgs84_poslon,3,Extensional,217.769822,68.192747,-127,5.890469114,4.985833637,domain,111.5567808,116.1858223,-40.02231,174.78896,0.4979036,0.649987516,-40.0075711,174.8207691,111556.7808,-40.05015912,174.7796083,111556.7808,-39.99762334,174.8033548,116185.8223,-40.04020534,174.7621887,116185.8223
1523306,2000-05-17T09:10:12.241000Z,-37.9759,176.65503,143.5585,GROPE,nz1dr,5.457,ML,uncorrected,0.291,5.457,ML,0.291,44,40,10,0.15038,no,Slab,hik_kerm_fault_300km_wgs84_poslon,4,Extensional,52.686474,47.41862,-94,5.13280227,4.658453653,domain,140.941532,144.3716307,-37.9759,176.65503,0.481251127,0.762942479,-37.97336797,176.6159573,140941.532,-37.94394567,176.6609513,140941.532,-37.99524695,176.6387833,144371.6307,-37.96581576,176.6837802,144371.6307
1525870,2000-05-22T21:16:15.489000Z,-41.23075,173.67555,79.0369,GROPE,nz1dr,4.253,ML,uncorrected,0.194,4.253,ML,0.194,21,16,9,0.19274,no,Slab,hik_kerm_fault_300km_wgs84_poslon,13,Contractional,33.585833,64.187385,125,1.783886323,1.743534477,domain,78.20992366,79.77949337,-41.23075,173.67555,0.511802064,0.526880925,-41.2356659,173.6655975,78209.92366,-41.22221174,173.6772343,78209.92366,-41.23940481,173.6731828,79779.49337,-41.22594989,173.6848186,79779.49337
1529782,2000-06-01T06:22:39.215000Z,-40.76725,174.03673,72.5674,GROPE,nz1dr,4.361,ML,uncorrected,0.211,4.361,ML,0.211,33,28,13,0.27585,no,Slab,hik_kerm_fault_300km_wgs84_poslon,13,Contractional,37.233786,57.938436,125,1.946794153,1.807414662,domain,71.60137571,73.13312026,-40.76725,174.03673,0.458641441,0.630669318,-40.77046354,174.0246701,71601.37571,-40.75637786,174.0384084,71601.37571,-40.77561166,174.0338011,73133.12026,-40.76152491,174.0475385,73133.12026
1530499,2000-06-05T19:52:47.218000Z,-45.0966,167.49689,92.6401,GROPE,nz1dr,4.779,ML,uncorrected,0.248,4.779,ML,0.248,16,9,16,0.24183,no,Slab,puy_slab2_dep_02.26.18,23,Crustal block,44.259451,44.390931,140,3.341785427,2.531602717,domain,91.67898881,93.44997211,-45.0966,167.49689,0.426013682,0.542699181,-45.09855685,167.4751365,91678.98881,-45.07853959,167.5067043,91678.98881,-45.11066359,167.4904356,93449.97211,-45.09064216,167.5220056,93449.97211
1530763,2000-06-07T08:51:27.443000Z,-37.98072,177.73958,71.8131,GROPE,nz1dr,5.344,ML,uncorrected,0.189,5.344,ML,0.189,36,31,10,0.15726,no,Slab,hik_kerm_fault_300km_wgs84_poslon,6,Crustal block,18.903443,70.657261,89,5.482616257,7.431526209,domain,68.98348602,75.99553338,-37.98072,177.73958,0.39720017,0.403536062,-37.99708768,177.7219128,68983.48602,-37.94968562,177.7390707,68983.48602,-38.00318366,177.7488074,75995.53338,-37.95577875,177.7659485,75995.53338
1532011,2000-06-09T04:29:34.453000Z,-38.54417,177.95462,45.0177,GROPE,nz1dr,4.187,ML,uncorrected,0.35,4.187,ML,0.35,23,18,12,0.29687,no,Slab,hik_kerm_fault_300km_wgs84_poslon,6,Crustal block,16.203583,70.877186,89,1.555644259,1.899925083,domain,44.2355085,46.03059295,-38.54417,177.95462,0.501810423,0.43574078,-38.55045279,177.9495681,44235.5085,-38.53683009,177.9536089,44235.5085,-38.55172234,177.9565088,46030.59295,-38.53809949,177.9605483,46030.59295
1591062,2000-06-09T05:48:54.910000Z,-38.53953,177.9366,44.9634,GROPE,nz1dr,4.251,ML,uncorrected,0.31,4.251,ML,0.31,21,17,21,0.28886,no,Slab,hik_kerm_fault_300km_wgs84_poslon,6,Crustal block,5.099798,72.246595,89,1.726751234,1.525092302,domain,44.10519042,45.55765429,-38.53953,177.9366,0.588803342,0.590864669,-38.5485791,177.9330458,44105.19042,-38.53306255,177.933743,44105.19042,-38.54872643,177.938367,45557.65429,-38.53320992,177.9390631,45557.65429
